Sport,Game_Type,Entry,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
CBB,Classic,CBB $2K And-One,2/24/2022,28,253.25,6.00,2378,$1.00 ,"$2,000.00 ",616
NHL,Showdown,NHL Showdown $1K Hip Check (NYI vs SJ),2/24/2022,1106,44.5,0.00,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $5K Hip Check,2/24/2022,1746,103.8,0.00,5945,$1.00 ,"$5,000.00 ",1543
TEN,Single Match,TEN $2.5K Ace [20 Entry Max],2/22/2022,1,388.05,1000.00,2972,$1.00 ,"$2,500.00 ",768
NBA,Showdown Captain Mode,NBA Showdown $10K And-One (GSW vs POR),2/24/2022,10025,172.13,0.00,11890,$1.00 ,"$10,000.00 ",3080
NBA,Classic,NBA $40K And-One [20 Entry Max],2/24/2022,8534,276.5,1.50,47562,$1.00 ,"$40,000.00 ",12830
NHL,Showdown,NHL Showdown $1K Hip Check (LA vs ARI),2/23/2022,523,53.9,0.00,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $5K Hip Check,2/23/2022,2379,107,0.00,5945,$1.00 ,"$5,000.00 ",1543
CBB,Classic,CBB $5K And-One,2/23/2022,1906,221.25,0.00,5945,$1.00 ,"$5,000.00 ",1543
CBB,Classic,CBB $4K And-One [20 Entry Max],2/22/2022,3342,187.5,0.00,4756,$1.00 ,"$4,000.00 ",1103
NHL,Showdown,NHL Showdown $750 Hip Check (SJ vs ANH),2/22/2022,604,86.1,0.00,891,$1.00 ,$750.00 ,204
NHL,Classic,NHL $75 Quarter Jukebox [Just $0.25!],2/22/2022,232,99.2,0.00,356,$0.25 ,$75.00 ,83
NHL,Classic,NHL $7.5K Hip Check,2/22/2022,4018,114.8,0.00,8917,$1.00 ,"$7,500.00 ",2305
NHL,Showdown,NHL Showdown $1K Hip Check (SEA vs VAN),2/21/2022,190,90.2,1.50,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $625 Hip Check [20 Entry Max] (Late),2/21/2022,195,97.7,0.00,743,$1.00 ,$625.00 ,176
CBB,Classic,CBB $750 And-One,2/21/2022,861,146.5,0.00,891,$1.00 ,$750.00 ,204
CBB,Classic,CBB $500 And-One (Night),2/20/2022,453,162.5,0.00,594,$1.00 ,$500.00 ,136
NHL,Showdown,NHL Showdown $300 Quarter Jukebox [Just $0.25!]  (MIN vs EDM),2/20/2022,377,71.9,0.00,1426,$0.25 ,$300.00 ,329
NHL,Showdown,NHL Showdown $1K Hip Check (MIN vs EDM),2/20/2022,271,74.5,1.50,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $2.5K mini-MAX [150 Entry Max] (1/2),2/20/2022,1952,97.4,0.00,5945,$0.50 ,"$2,500.00 ",1190
NHL,Classic,NHL $2.5K mini-MAX [150 Entry Max] (2/2),2/20/2022,1952,97.4,0.00,5945,$0.50 ,"$2,500.00 ",1190
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (7/8),2/20/2022,5190,221.6,0.75,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (1/8),2/20/2022,6775,213.75,0.50,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (2/8),2/20/2022,9939,201.95,0.50,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (5/8),2/20/2022,15610,184.15,0.00,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (8/8),2/20/2022,18908,175.7,0.00,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (6/8),2/20/2022,21361,169.3,0.00,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (4/8),2/20/2022,30856,145.9,0.00,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $12.5K Quarter Jukebox [Just $0.25!] (Cup) (3/8),2/20/2022,37725,127.7,0.00,59453,$0.25 ,"$12,500.00 ",14265
NAS,Classic,NAS $60K Micro Happy Hour [20 Entry Max] (Cup),2/20/2022,10,315.5,1500.00,71343,$1.00 ,"$60,000.00 ",19248
GOLF,Showdown,PGA TOUR $20K Micro Short Game [20 Entry Max] (Round 4 TOUR),2/20/2022,7815,246.15,0.00,22022,$1.00 ,"$20,000.00 ",6420
NHL,Showdown,NHL Showdown $1K Hip Check (ANH vs VAN),2/19/2022,549,50.7,0.00,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $5K Hip Check,2/19/2022,2935,88.1,0.00,5945,$1.00 ,"$5,000.00 ",1543
CBB,Classic,CBB $1K And-One (Afternoon),2/19/2022,413,208.5,0.00,1189,$1.00 ,"$1,000.00 ",285
MMA,Classic,UFC $50K mini-MAX [150 Max Entry] (5/5),2/19/2022,8195,494,2.00,59453,$1.00 ,"$50,000.00 ",13672
MMA,Classic,UFC $50K mini-MAX [150 Max Entry] (1/5),2/19/2022,51739,300.83,0.00,59453,$1.00 ,"$50,000.00 ",13672
MMA,Classic,UFC $50K mini-MAX [150 Max Entry] (2/5),2/19/2022,51739,300.83,0.00,59453,$1.00 ,"$50,000.00 ",13672
MMA,Classic,UFC $50K mini-MAX [150 Max Entry] (3/5),2/19/2022,51739,300.83,0.00,59453,$1.00 ,"$50,000.00 ",13672
MMA,Classic,UFC $50K mini-MAX [150 Max Entry] (4/5),2/19/2022,51739,300.83,0.00,59453,$1.00 ,"$50,000.00 ",13672
GOLF,Showdown,PGA TOUR $15K Micro Short Game [20 Entry Max] (Round 3 TOUR),2/19/2022,11003,221.6,0.00,17835,$1.00 ,"$15,000.00 ",4636
NHL,Showdown,NHL Showdown $1.5K Hip Check (LA vs VGK),2/18/2022,6,106.15,20.00,1783,$1.00 ,"$1,500.00 ",421
NHL,Classic,NHL $10K Micro Hip Check [20 Entry Max],2/18/2022,9421,77.6,0.00,11890,$1.00 ,"$10,000.00 ",3080
CBB,Classic,CBB $2.5K And-One,2/18/2022,1769,179.75,0.00,2972,$1.00 ,"$2,500.00 ",768
CBB,Classic,CBB $500 Quarter Jukebox [Just $0.25!] (5/6),2/18/2022,720,200,0.00,2378,$0.25 ,$500.00 ,536
CBB,Classic,CBB $500 Quarter Jukebox [Just $0.25!] (2/6),2/18/2022,956,192,0.00,2378,$0.25 ,$500.00 ,536
CBB,Classic,CBB $500 Quarter Jukebox [Just $0.25!] (6/6),2/18/2022,1170,186,0.00,2378,$0.25 ,$500.00 ,536
CBB,Classic,CBB $500 Quarter Jukebox [Just $0.25!] (3/6),2/18/2022,1502,175.75,0.00,2378,$0.25 ,$500.00 ,536
CBB,Classic,CBB $500 Quarter Jukebox [Just $0.25!] (4/6),2/18/2022,2070,156.75,0.00,2378,$0.25 ,$500.00 ,536
CBB,Classic,CBB $500 Quarter Jukebox [Just $0.25!] (1/6),2/18/2022,2260,142.5,0.00,2378,$0.25 ,$500.00 ,536
GOLF,Showdown,PGA TOUR Showdown $12.5K Micro Short Game [20 Entry Max] (Round 2 TOUR),2/18/2022,6389,232.85,0.00,14863,$1.00 ,"$12,500.00 ",3863
CBB,Classic,CBB $2K And-One,2/17/2022,1345,195.5,0.00,2378,$1.00 ,"$2,000.00 ",616
NBA,Showdown Captain Mode,NBA Showdown $12.5K And-One (HOU vs LAC),2/17/2022,6714,200.88,0.00,14863,$1.00 ,"$12,500.00 ",3863
NBA,Showdown Captain Mode,NBA Showdown $3K Quarter Jukebox [Just $0.25!] (HOU vs LAC) (2/2),2/17/2022,5508,203.63,0.00,14268,$0.25 ,"$3,000.00 ",3419
NBA,Showdown Captain Mode,NBA Showdown $3K Quarter Jukebox [Just $0.25!] (HOU vs LAC) (1/2),2/17/2022,7514,196,0.00,14268,$0.25 ,"$3,000.00 ",3419
NBA,Classic,NBA $35K And-One [20 Entry Max],2/17/2022,40177,213.5,0.00,41617,$1.00 ,"$35,000.00 ",11230
NBA,Classic,NBA $7.5K Micro Daily Dollar Special [Single Entry],2/17/2022,8584,213.5,0.00,8917,$1.00 ,"$7,500.00 ",2305
NHL,Showdown,NHL Showdown $1K Hip Check (VAN vs SJ),2/17/2022,55,114.65,2.50,1189,$1.00 ,"$1,000.00 ",285
NHL,Classic,NHL $5K Hip Check,2/17/2022,4946,82.3,0.00,5945,$1.00 ,"$5,000.00 ",1543
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (7/20),2/17/2022,259,497,0.75,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (6/20),2/17/2022,474,482,0.75,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (2/20),2/17/2022,832,457.5,0.50,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (13/20),2/17/2022,1456,433,0.50,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (10/20),2/17/2022,1814,422.5,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (20/20),2/17/2022,2167,412,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (5/20),2/17/2022,2420,404,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (14/20),2/17/2022,2901,393,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (1/20),2/17/2022,3574,378.5,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (17/20),2/17/2022,3635,377,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (3/20),2/17/2022,3760,374,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (9/20),2/17/2022,4589,355,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (16/20),2/17/2022,5070,343,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (18/20),2/17/2022,5461,332.5,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (12/20),2/17/2022,5494,331.5,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (11/20),2/17/2022,5540,330,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (8/20),2/17/2022,5800,322.5,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (15/20),2/17/2022,5814,322,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (19/20),2/17/2022,6372,299,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $1.5K Quarter Jukebox [Just $0.25!] (4/20),2/17/2022,6697,282,0.00,7134,$0.25 ,"$1,500.00 ",1706
GOLF,Classic,PGA TOUR $40K Micro Short Game [20 Entry Max],2/17/2022,41639,302.5,0.00,47562,$1.00 ,"$40,000.00 ",12830
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (3/10),2/17/2022,11455,456.5,1.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (10/10),2/17/2022,24806,421.5,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (9/10),2/17/2022,37805,397,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (7/10),2/17/2022,42116,389.5,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (8/10),2/17/2022,48017,379.5,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (1/10),2/17/2022,60853,356,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (4/10),2/17/2022,67087,344.5,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (5/10),2/17/2022,71925,335,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (2/10),2/17/2022,72707,333.5,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $40K Micro mini-MAX [150 Entry Max] (6/10),2/17/2022,84048,302,0.00,95124,$0.50 ,"$40,000.00 ",19975
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (15/20),2/17/2022,1284,488,0.75,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (7/20),2/17/2022,1919,476,0.75,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (18/20),2/17/2022,6396,427.5,0.50,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (13/20),2/17/2022,8508,412.5,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (3/20),2/17/2022,12756,386.5,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (1/20),2/17/2022,14196,378.5,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (8/20),2/17/2022,14415,377,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (5/20),2/17/2022,15578,370,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (14/20),2/17/2022,16329,365.5,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (20/20),2/17/2022,20106,342.5,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (4/20),2/17/2022,21721,332,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (9/20),2/17/2022,22597,325,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (6/20),2/17/2022,23218,320,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (11/20),2/17/2022,23658,316,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (2/20),2/17/2022,25126,301,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (16/20),2/17/2022,25297,299,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (10/20),2/17/2022,26236,286.5,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (17/20),2/17/2022,26490,283,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (12/20),2/17/2022,26603,281,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $6K Quarter Jukebox [Just $0.25!] (19/20),2/17/2022,28282,212,0.00,28537,$0.25 ,"$6,000.00 ",6840
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (20/20),2/17/2022,4161,439,0.20,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (4/20),2/17/2022,5121,430,0.20,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (2/20),2/17/2022,6921,414.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (14/20),2/17/2022,7359,411,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (1/20),2/17/2022,8380,402.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (15/20),2/17/2022,8571,401,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (7/20),2/17/2022,9224,396.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (10/20),2/17/2022,11181,383.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (6/20),2/17/2022,11440,382,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (19/20),2/17/2022,12128,377.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (18/20),2/17/2022,13577,366.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (16/20),2/17/2022,14359,360.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (11/20),2/17/2022,15661,351.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (9/20),2/17/2022,17288,339.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (8/20),2/17/2022,18485,329,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (5/20),2/17/2022,18617,328,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (13/20),2/17/2022,20225,310.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (12/20),2/17/2022,20529,306.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (3/20),2/17/2022,20634,305,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $2K Dime Time [Just $0.10!] (17/20),2/17/2022,20676,304.5,0.00,23781,$0.10 ,"$2,000.00 ",5675
GOLF,Classic,PGA TOUR $150K Micro Birdie [20 Entry Max],2/17/2022,56938,265,0.00,59453,$3.00 ,"$150,000.00 ",14302
CBB,Classic,CBB $2K And-One,2/16/2022,2252,177.25,0.00,2378,$1.00 ,"$2,000.00 ",616
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (1/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (2/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (3/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (4/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (5/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (6/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (7/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (UTA vs LAL) (8/8),2/16/2022,8390,175.75,0.00,9512,$0.25 ,"$2,000.00 ",2266
NBA,Showdown Captain Mode,NBA Showdown $10K And-One (UTA vs LAL),2/16/2022,10614,175.75,0.00,11890,$1.00 ,"$10,000.00 ",3080
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (1/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (2/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (3/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (4/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (5/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (6/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (7/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (8/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (9/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (10/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (11/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (12/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (13/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (14/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (15/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (16/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (17/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (18/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (19/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Showdown Captain Mode,NBA Showdown $1K Micro Penny Booster [Top 100 Win $10] (UTA vs LAL) (20/20),2/16/2022,56330,175.75,0.00,67842,$0.01 ,"$1,000.00 ",100
NBA,Classic,NBA $100K Micro mini-MAX Special [150 Entry Max] (1/4),2/16/2022,58227,260,0.00,118814,$1.00 ,"$100,000.00 ",24227
NBA,Classic,NBA $100K Micro mini-MAX Special [150 Entry Max] (2/4),2/16/2022,61032,258.25,0.00,118814,$1.00 ,"$100,000.00 ",24227
NBA,Classic,NBA $100K Micro mini-MAX Special [150 Entry Max] (4/4),2/16/2022,89219,240,0.00,118814,$1.00 ,"$100,000.00 ",24227
NBA,Classic,NBA $100K Micro mini-MAX Special [150 Entry Max] (3/4),2/16/2022,101296,229.5,0.00,118814,$1.00 ,"$100,000.00 ",24227
NBA,Classic,NBA $15K mini-MAX [150 Entry Max] (2/4),2/16/2022,21780,254.75,0.00,35671,$0.50 ,"$15,000.00 ",8185
NBA,Classic,NBA $15K mini-MAX [150 Entry Max] (1/4),2/16/2022,25947,246.25,0.00,35671,$0.50 ,"$15,000.00 ",8185
NBA,Classic,NBA $15K mini-MAX [150 Entry Max] (3/4),2/16/2022,30410,234,0.00,35671,$0.50 ,"$15,000.00 ",8185
NBA,Classic,NBA $15K mini-MAX [150 Entry Max] (4/4),2/16/2022,33378,220,0.00,35671,$0.50 ,"$15,000.00 ",8185
NBA,Classic,NBA $7K Quarter Jukebox (3/20),2/16/2022,27144,229.5,0.00,32506,$0.25 ,"$7,000.00 ",7990
NBA,Classic,NBA $7K Quarter Jukebox (4/20),2/16/2022,27144,229.5,0.00,32506,$0.25 ,"$7,000.00 ",7990
NBA,Classic,NBA $7K Quarter Jukebox (5/20),2/16/2022,27144,229.5,0.00,32506,$0.25 ,"$7,000.00 ",7990
